ride_id,distance_km,duration_min,booking_time,hours,day_of_week,months,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,weather,traffic_level,available_drivers,area_demand,vehicle_types,user_rating,user_previous_rides,base_price,constrained_price
R000030,4.7,22.0,2025-02-18 04:35:33.337967,4,1,2,20.990398570844008,105.83314586279565,20.982573533608537,105.80799257031083,rainy,6,14,63,4_seater_car,5.0,6,94000.0,141000.0
R000031,7.6,36.0,2025-02-25 18:25:37.337967,18,1,2,21.02053319394152,105.79026817275877,21.01254852280843,105.84988674621052,rainy,6,19,61,motorbike,4.5,9,76000.0,128000.0
R000032,4.3,24.0,2025-02-12 03:23:27.337967,3,2,2,20.994796992453747,105.7740597790033,20.989538482321816,105.80720352147289,rainy,4,21,50,motorbike,4.6,6,43000.0,54000.0
R000033,2.9,14.0,2025-02-12 19:38:47.337967,19,2,2,21.063463586755827,105.77236608764848,21.036383202385554,105.76957537560511,sunny,7,25,44,7_seater_car,4.2,80,87000.0,103000.0
R000034,3.5,16.0,2025-02-23 15:06:26.337967,15,6,2,20.98625017895809,105.76209112872029,21.022154913533434,105.77058571309993,heavy_rain,4,15,41,motorbike,4.5,24,35000.0,54000.0
R000035,5.8,24.0,2025-03-04 12:40:27.337967,12,1,3,20.989054900499422,105.79126859570357,21.046323788515345,105.80737468761788,sunny,3,22,26,4_seater_car,4.8,124,116000.0,104000.0
R000036,3.9,21.0,2025-02-18 10:27:42.337967,10,1,2,21.03117539464883,105.79645863744409,21.030497398114775,105.83771563765114,rainy,5,21,75,4_seater_car,4.3,2,78000.0,108000.0
R000037,3.3,16.0,2025-03-09 08:33:39.337967,8,6,3,20.983106058024124,105.79670359254659,21.067688544723882,105.80220545819797,sunny,6,14,56,motorbike,4.1,69,33000.0,47000.0
R000038,2.1,10.0,2025-02-26 17:33:04.337967,17,2,2,21.065362294415976,105.8007639395643,21.062294990136404,105.7753932230347,rainy,7,22,37,luxury_car,5.0,5,126000.0,189000.0
R000039,2.9,13.0,2025-03-11 08:40:45.337967,8,1,3,21.066861863401428,105.8387374189207,21.00697773935632,105.78234399078359,heavy_rain,8,16,83,motorbike,4.5,0,29000.0,74000.0
R000040,3.7,20.0,2025-02-24 12:37:13.337967,12,0,2,21.0792064458744,105.81348748277924,21.0278472038472,105.84650765374553,sunny,2,20,46,4_seater_car,4.5,4,74000.0,76000.0
R000041,3.4,19.0,2025-02-16 17:23:28.337967,17,6,2,21.067116751568953,105.76001460712921,21.074816235922437,105.76934635715229,heavy_rain,8,19,63,motorbike,5.0,4,34000.0,74000.0
R000042,2.8,13.0,2025-02-11 04:58:53.337967,4,1,2,21.00807204082184,105.8340941911637,21.021314423281282,105.80966852034653,sunny,3,16,41,luxury_car,3.8,27,168000.0,169000.0
R000043,9.8,38.0,2025-02-15 19:45:44.337967,19,5,2,21.039057474959552,105.76319474702987,21.020105831885516,105.84108529849237,sunny,6,20,51,motorbike,4.9,22,98000.0,123000.0
R000044,6.1,29.0,2025-03-01 20:12:58.337967,20,5,3,20.985817808220855,105.82040755272455,21.029682545277318,105.75265088208873,heavy_rain,5,22,48,4_seater_car,3.9,8,122000.0,186000.0
R000045,13.4,66.0,2025-03-04 20:40:33.337967,20,1,3,21.028113447808117,105.78893635228613,21.04361999577567,105.7703213584052,rainy,5,25,57,motorbike,3.7,4,134000.0,165000.0
R000046,2.0,10.0,2025-02-10 09:58:52.337967,9,0,2,21.016085910201696,105.80959757035339,21.055749713569636,105.77831272582186,sunny,7,16,69,7_seater_car,4.4,8,60000.0,92000.0
R000047,5.2,22.0,2025-02-22 15:40:06.337967,15,5,2,21.051803201109408,105.7964299829665,21.031643025964247,105.80417282935589,heavy_rain,5,18,44,4_seater_car,5.0,67,104000.0,147000.0
R000048,3.6,20.0,2025-02-17 01:38:33.337967,1,0,2,20.99733021089135,105.77826695582363,21.05904391565233,105.79360726152755,rainy,5,14,48,4_seater_car,4.3,7,72000.0,99000.0
R000049,4.5,18.0,2025-02-28 17:25:15.337967,17,4,2,21.01594347779509,105.75957478139006,20.998046876516504,105.80479562507145,sunny,5,15,74,motorbike,4.9,23,45000.0,69000.0
R000050,11.3,50.0,2025-03-08 17:33:24.337967,17,5,3,21.049139022483867,105.7895237908154,21.00986008783773,105.75556088887207,heavy_rain,7,14,60,7_seater_car,4.2,8,339000.0,781000.0
R000051,1.9,8.0,2025-02-18 18:50:58.337967,18,1,2,21.04289029325594,105.76983740178702,21.056450681710583,105.78136283913939,sunny,7,19,52,motorbike,4.1,32,19000.0,24000.0
R000052,3.4,15.0,2025-03-01 09:40:02.337967,9,5,3,21.063628016743536,105.80251814971454,21.051601262094444,105.77174332202455,sunny,6,22,68,motorbike,4.3,17,34000.0,47000.0
R000053,3.1,12.0,2025-02-12 17:50:56.337967,17,2,2,21.042556148435143,105.81043678554846,21.007130344526857,105.84236268518775,rainy,7,23,49,motorbike,4.0,21,31000.0,45000.0
R000054,3.4,16.0,2025-02-26 17:03:02.337967,17,2,2,21.02275189044158,105.82053889996621,20.988655122770467,105.75030177766303,rainy,7,24,46,motorbike,4.8,0,34000.0,51000.0
R000055,1.6,9.0,2025-03-09 07:38:32.337967,7,6,3,20.990165534636443,105.8278142459367,21.017263260581817,105.75417783535556,rainy,6,21,57,motorbike,3.8,26,16000.0,24000.0
R000056,8.5,40.0,2025-02-10 04:03:53.337967,4,0,2,20.982681951577405,105.77432246121431,20.99876794473501,105.84957632818035,heavy_rain,2,19,51,4_seater_car,4.5,6,170000.0,272000.0
R000057,8.7,38.0,2025-02-21 19:07:32.337967,19,4,2,21.075239265814496,105.83800556340792,21.018375701579576,105.7516927202965,heavy_rain,6,10,46,motorbike,4.3,20,87000.0,206000.0
R000058,6.0,33.0,2025-03-04 06:12:56.337967,6,1,3,21.01871649601249,105.82658058248883,20.99023759680861,105.7688220421082,sunny,2,22,54,4_seater_car,3.7,10,120000.0,125000.0
R000059,2.3,12.0,2025-03-08 09:39:24.337967,9,5,3,21.006564145016153,105.75682521547935,21.015687135470987,105.78467723787888,heavy_rain,7,13,29,motorbike,4.0,7,23000.0,44000.0
R000060,5.1,23.0,2025-02-14 04:07:22.337967,4,4,2,21.026530896225747,105.75514320905013,21.001989908689577,105.80045730105971,sunny,4,18,42,4_seater_car,4.6,8,102000.0,105000.0
R000061,6.9,34.0,2025-02-20 14:17:33.337967,14,3,2,21.062487968943003,105.75899975798428,20.9899914835815,105.75767447948127,sunny,3,19,29,4_seater_car,4.3,2,138000.0,138000.0
R000062,5.4,29.0,2025-02-18 17:07:16.337967,17,1,2,21.029326628241808,105.76813024123622,21.017051090047648,105.78903448637509,heavy_rain,7,13,35,motorbike,4.8,2,54000.0,108000.0
R000063,4.4,19.0,2025-03-10 16:01:59.337967,16,0,3,20.990916721857026,105.84541220739233,21.04171688662581,105.8247919441969,rainy,3,15,25,4_seater_car,4.4,2,88000.0,106000.0
R000064,9.1,44.0,2025-02-13 07:04:19.337967,7,3,2,21.04650585942731,105.79467537574934,21.07484090726254,105.78361176966096,sunny,6,18,50,motorbike,4.5,22,91000.0,116000.0
R000065,3.1,14.0,2025-03-01 05:53:41.337967,5,5,3,21.074476199430283,105.81265321114549,21.024168229595578,105.81768347002881,rainy,3,19,41,motorbike,4.8,6,31000.0,38000.0
R000066,4.1,18.0,2025-02-10 18:40:18.337967,18,0,2,21.075314888868526,105.80142649936525,21.067688592366878,105.80387696136121,rainy,7,17,58,4_seater_car,3.9,64,82000.0,133000.0
R000067,6.1,30.0,2025-02-17 08:29:57.337967,8,0,2,21.011759630196,105.77691133369088,21.020282168305222,105.81965698067732,sunny,8,14,59,7_seater_car,3.7,34,183000.0,273000.0
R000068,5.3,27.0,2025-03-06 09:32:30.337967,9,3,3,21.066227975708795,105.76607708257932,21.03674825090989,105.81617010695263,heavy_rain,6,23,72,motorbike,5.0,8,53000.0,111000.0
R000069,5.9,28.0,2025-02-19 18:01:16.337967,18,2,2,21.034023091940284,105.75663819033336,21.04397973999063,105.78261440205132,rainy,6,10,41,7_seater_car,3.9,14,177000.0,321000.0
R000070,5.9,26.0,2025-03-07 23:54:00.337967,23,4,3,21.00529179807183,105.7664634551027,21.01483431754315,105.75339545271673,rainy,4,30,53,4_seater_car,3.3,30,118000.0,135000.0
R000071,5.8,35.0,2025-02-26 09:49:12.337967,9,2,2,21.07431608487165,105.80781297185388,21.05643235804534,105.76728721342843,rainy,6,18,48,4_seater_car,5.0,3,116000.0,186000.0
R000072,3.7,17.0,2025-02-14 21:00:55.337967,21,4,2,21.04691482068708,105.80408010942638,21.02743827608161,105.77284163208068,sunny,3,16,55,4_seater_car,4.0,4,74000.0,85000.0
R000073,3.2,16.0,2025-02-18 17:20:48.337967,17,1,2,21.048820858193082,105.80176694232094,21.066245891874146,105.7592771304928,heavy_rain,8,10,56,7_seater_car,4.5,9,96000.0,252000.0
R000074,4.8,25.0,2025-02-25 20:25:54.337967,20,1,2,20.986728818693653,105.7601985270548,21.011736786152852,105.83084565255935,sunny,5,14,45,motorbike,4.6,14,48000.0,54000.0
R000075,9.5,37.0,2025-03-05 16:53:11.337967,16,2,3,21.036144502379063,105.81076192387843,21.035217713028924,105.80906456261043,sunny,3,20,48,luxury_car,5.0,2,570000.0,593000.0
R000076,4.4,23.0,2025-02-26 08:39:40.337967,8,2,2,21.047550795241616,105.80279892239574,21.03275827864188,105.7826573888801,heavy_rain,6,16,31,7_seater_car,3.8,12,132000.0,248000.0
R000077,6.0,29.0,2025-03-01 02:49:25.337967,2,5,3,21.02729448742365,105.75411635279782,21.076869157020564,105.75919950296426,heavy_rain,5,13,57,motorbike,4.9,4,60000.0,111000.0
R000078,4.7,22.0,2025-02-12 23:19:46.337967,23,2,2,20.99632009250067,105.80112350478169,21.022999107242274,105.8373006356912,rainy,5,13,21,motorbike,4.4,42,47000.0,54000.0
R000079,12.4,59.0,2025-02-27 19:36:16.337967,19,3,2,21.010547936104146,105.82192746157214,21.022325670694343,105.7882006383933,sunny,7,15,59,4_seater_car,5.0,54,248000.0,333000.0
R000080,4.2,21.0,2025-03-10 09:34:04.337967,9,0,3,21.001030609746593,105.83136016113079,20.999720693930836,105.75098160818305,sunny,6,16,31,7_seater_car,4.6,26,126000.0,150000.0
R000081,6.1,24.0,2025-02-10 19:49:20.337967,19,0,2,21.06303370728059,105.77115485198996,20.995057024859914,105.76987758589831,sunny,8,22,63,motorbike,4.2,2,61000.0,85000.0
R000082,3.1,15.0,2025-03-05 05:08:03.337967,5,2,3,21.023313005156027,105.8211461191871,20.98928725915691,105.78597477461071,rainy,4,17,56,motorbike,4.4,23,31000.0,40000.0
R000083,2.6,13.0,2025-02-26 17:49:12.337967,17,2,2,20.986453690110704,105.78795331918776,21.004728592606533,105.77458622066834,rainy,7,31,43,4_seater_car,5.0,15,52000.0,78000.0
R000084,4.5,27.0,2025-03-08 18:56:22.337967,18,5,3,21.008836730567527,105.7789219530827,21.038119478904154,105.81492923005092,rainy,8,19,23,motorbike,4.5,37,45000.0,66000.0
R000085,8.1,34.0,2025-02-23 03:39:45.337967,3,6,2,21.005902928279873,105.76419645588365,21.021677504774214,105.77972183202105,rainy,4,23,56,4_seater_car,4.3,9,162000.0,203000.0
R000086,6.2,31.0,2025-02-28 20:28:27.337967,20,4,2,21.01829300080082,105.83487208393711,20.99752096107452,105.82803609584117,rainy,2,25,28,motorbike,5.0,78,62000.0,67000.0
R000087,1.6,7.0,2025-02-11 18:34:28.337967,18,1,2,21.06735070832834,105.77739210150848,21.07671033094099,105.8336443152051,rainy,7,11,65,7_seater_car,4.3,32,48000.0,95000.0
R000088,6.5,33.0,2025-02-24 19:07:00.337967,19,0,2,20.996829225853727,105.80739889139355,21.00298861997156,105.79620468611259,rainy,6,15,32,motorbike,4.3,4,65000.0,99000.0
R000089,2.1,11.0,2025-03-10 19:05:35.337967,19,0,3,21.030994011279137,105.81710601404582,21.041494540205807,105.78546647727268,heavy_rain,8,17,30,4_seater_car,4.4,22,42000.0,77000.0
R000090,6.8,30.0,2025-02-26 07:45:28.337967,7,2,2,21.024777975573528,105.77694963935544,21.014597026470764,105.76225300859304,heavy_rain,8,24,48,7_seater_car,5.0,14,204000.0,394000.0
R000091,5.9,35.0,2025-03-11 22:54:06.337967,22,1,3,21.00100696476523,105.82132200514988,20.997357451176892,105.83325165432576,sunny,5,19,27,motorbike,4.4,26,59000.0,56000.0
R000092,4.2,23.0,2025-02-12 11:38:24.337967,11,2,2,21.005428588550913,105.79075556214627,21.009965123594366,105.78271017723867,heavy_rain,1,20,46,4_seater_car,5.0,9,84000.0,130000.0
R000093,6.4,33.0,2025-03-10 19:54:31.337967,19,0,3,21.038220339536906,105.80879497477447,20.999366142850107,105.75659818447676,sunny,6,22,26,7_seater_car,4.3,0,192000.0,240000.0
R000094,3.9,18.0,2025-02-12 23:53:21.337967,23,2,2,21.077975102202803,105.76267420159374,21.067218157524984,105.78497532595719,heavy_rain,3,24,53,4_seater_car,4.4,9,78000.0,119000.0
R000095,4.8,22.0,2025-03-04 17:04:18.337967,17,1,3,21.057050869967995,105.79641201322032,21.039448390603013,105.78284696306555,rainy,7,26,40,motorbike,4.0,21,48000.0,68000.0
R000096,2.2,11.0,2025-03-06 18:55:58.337967,18,3,3,20.99457341565134,105.7557605893083,21.034080090606658,105.76795705211391,rainy,6,11,83,7_seater_car,3.3,2,66000.0,148000.0
R000097,3.9,18.0,2025-02-12 02:25:50.337967,2,2,2,21.015478543430792,105.7802272211171,21.017503468940987,105.76700892638307,sunny,4,17,51,4_seater_car,4.4,55,78000.0,82000.0
R000098,7.1,32.0,2025-02-24 23:03:27.337967,23,0,2,21.01067350718249,105.81128797726082,21.00206627722492,105.77986229474786,sunny,4,18,53,4_seater_car,4.3,8,142000.0,155000.0
R000099,2.3,14.0,2025-02-19 16:18:40.337967,16,2,2,21.03986515518559,105.75169259500952,21.055845682881593,105.78992140316842,sunny,2,15,50,motorbike,4.8,17,23000.0,26000.0
R000100,6.7,34.0,2025-02-10 08:55:48.337967,8,0,2,21.056730913920173,105.76282316800655,21.04186981480078,105.78729375252018,heavy_rain,6,20,26,motorbike,4.6,2,67000.0,126000.0
R000101,1.6,8.0,2025-02-16 17:56:26.337967,17,6,2,21.05164045168129,105.78984969654137,21.010859071393597,105.78412836128985,sunny,8,21,56,motorbike,4.6,0,16000.0,22000.0
R000102,2.5,15.0,2025-02-12 17:25:13.337967,17,2,2,20.987856482557195,105.76904579861727,21.05107838379772,105.78494545921278,rainy,6,9,19,4_seater_car,4.1,14,50000.0,76000.0
R000103,3.8,18.0,2025-03-09 00:58:36.337967,0,6,3,20.985318207650202,105.77963643166584,21.06858356752351,105.83959280078652,heavy_rain,4,23,82,7_seater_car,4.9,12,114000.0,198000.0
R000104,4.8,22.0,2025-02-22 09:09:46.337967,9,5,2,21.055470346356945,105.7587499969476,21.07216888257936,105.83893247505821,sunny,7,15,24,motorbike,5.0,122,48000.0,54000.0
R000105,3.4,15.0,2025-02-25 07:52:23.337967,7,1,2,20.993952704500693,105.79158165443343,21.031540759556037,105.75015076523498,rainy,5,18,31,motorbike,3.5,34,34000.0,48000.0
R000106,3.3,18.0,2025-02-24 18:03:32.337967,18,0,2,21.009244779374953,105.77770844324407,21.033478236038086,105.7507054820443,sunny,7,13,61,motorbike,4.4,24,33000.0,50000.0
R000107,7.8,36.0,2025-03-04 06:52:25.337967,6,1,3,21.024932512792084,105.78301692634736,21.03571676331774,105.78736252457446,sunny,4,23,61,4_seater_car,3.9,20,156000.0,166000.0
R000108,8.1,30.0,2025-03-07 01:23:58.337967,1,4,3,20.997414831876192,105.82649601560377,20.990797048961756,105.80655182103717,heavy_rain,5,15,70,4_seater_car,4.8,58,162000.0,277000.0
R000109,3.6,14.0,2025-03-07 07:53:42.337967,7,4,3,20.995946591788922,105.83005093322446,21.027202804570816,105.81943325613615,rainy,6,18,72,motorbike,4.4,44,36000.0,62000.0
R000110,3.7,15.0,2025-02-15 17:45:00.337967,17,5,2,21.00603132045351,105.75828707130466,21.01512522673137,105.79266370504975,sunny,7,21,38,motorbike,4.3,2,37000.0,46000.0
R000111,3.9,18.0,2025-02-14 00:55:00.337967,0,4,2,21.055708809823038,105.77709302560604,21.071623334320346,105.8421660585282,rainy,4,21,19,luxury_car,4.7,7,234000.0,281000.0
R000112,13.6,64.0,2025-02-21 22:40:04.337967,22,4,2,21.013949684105533,105.77306483862151,21.056483844908243,105.79764082002492,heavy_rain,5,15,53,7_seater_car,5.0,4,408000.0,706000.0
R000113,4.5,23.0,2025-02-15 07:53:30.337967,7,5,2,21.029529092797127,105.8290392868759,21.022959634990112,105.79995443817332,sunny,9,18,35,motorbike,4.0,22,45000.0,57000.0
R000114,9.8,42.0,2025-02-24 10:41:52.337967,10,0,2,21.04351761686427,105.76277340965112,21.019861858840635,105.81071805722479,sunny,2,19,42,motorbike,5.0,38,98000.0,95000.0
R000115,6.5,32.0,2025-02-26 00:01:42.337967,0,2,2,20.994918451452662,105.78688742346547,21.033526134519384,105.82434483919683,rainy,4,23,48,motorbike,4.6,59,65000.0,71000.0
R000116,4.3,23.0,2025-03-11 07:57:19.337967,7,1,3,20.984620435474017,105.76721754494689,21.01577588636973,105.75627641596496,heavy_rain,8,17,73,motorbike,4.3,109,43000.0,97000.0
R000117,3.2,15.0,2025-03-09 11:27:37.337967,11,6,3,21.069563397486437,105.76645347429587,21.079511602270333,105.78538576335515,rainy,5,18,58,4_seater_car,4.0,39,64000.0,82000.0
R000118,6.6,30.0,2025-03-07 22:24:09.337967,22,4,3,21.01335479552517,105.82190727846535,21.02866013061662,105.75886675820443,sunny,4,18,42,motorbike,4.2,8,66000.0,68000.0
R000119,3.0,13.0,2025-02-21 18:59:58.337967,18,4,2,21.009518200962834,105.83548501727174,21.06978831352678,105.84183739850232,rainy,8,11,38,7_seater_car,5.0,4,90000.0,159000.0
R000120,3.7,20.0,2025-02-10 19:33:54.337967,19,0,2,21.047571271558752,105.80354147175991,20.980286679283036,105.76242353257364,rainy,5,23,34,4_seater_car,4.0,6,74000.0,111000.0
R000121,6.2,26.0,2025-02-25 09:46:53.337967,9,1,2,21.02864707392345,105.82239626863677,20.9849708445289,105.80399012809526,sunny,7,24,87,4_seater_car,4.8,23,124000.0,171000.0
R000122,4.0,23.0,2025-02-10 22:40:05.337967,22,0,2,21.025726346568803,105.7643561143843,21.021744688924514,105.78559468816715,rainy,5,27,44,motorbike,4.0,20,40000.0,48000.0
R000123,3.7,18.0,2025-03-03 11:04:12.337967,11,0,3,21.06176447012466,105.76959570865453,21.07847581501973,105.84024381194003,rainy,4,22,57,motorbike,4.7,36,37000.0,45000.0
R000124,3.8,17.0,2025-03-07 18:38:22.337967,18,4,3,21.000090801547465,105.83842074267935,21.019851457229116,105.81871590969857,rainy,6,12,69,motorbike,4.6,6,38000.0,78000.0
R000125,3.2,17.0,2025-03-06 18:29:05.337967,18,3,3,21.05727485490243,105.80106568752203,21.022189339560263,105.7919787505651,sunny,6,8,54,motorbike,5.0,16,32000.0,59000.0
R000126,5.6,28.0,2025-02-24 07:47:52.337967,7,0,2,21.003541757972897,105.80065709796182,20.993380952607282,105.83858999122351,sunny,7,20,66,motorbike,4.1,47,56000.0,75000.0
R000127,4.6,23.0,2025-02-14 19:27:26.337967,19,4,2,20.985111881145716,105.79542262549481,21.02575313367622,105.78779767449745,rainy,8,14,47,motorbike,4.4,1,46000.0,81000.0
R000128,2.3,12.0,2025-02-25 14:37:33.337967,14,1,2,21.002217744234596,105.79923430275359,21.055820926673498,105.80115925036256,rainy,6,18,67,7_seater_car,4.0,8,69000.0,97000.0
R000129,3.5,17.0,2025-03-11 19:24:58.337967,19,1,3,21.030519184259155,105.76321731514088,21.002928836117423,105.82095858590262,rainy,8,17,71,motorbike,4.8,1,35000.0,66000.0
R000130,3.7,19.0,2025-02-19 22:37:34.337967,22,2,2,20.993589578851697,105.80092260661719,20.98306589742631,105.77981607796977,sunny,5,21,35,motorbike,4.8,27,37000.0,35000.0
R000131,3.7,21.0,2025-03-01 18:59:19.337967,18,5,3,20.997841349002147,105.79342349694497,21.045732659516133,105.78747965583403,sunny,6,15,50,motorbike,4.0,1,37000.0,52000.0
R000132,6.0,29.0,2025-03-07 00:57:05.337967,0,4,3,21.046873115993332,105.79752815080222,21.056426340642478,105.76364050494718,rainy,2,23,57,4_seater_car,3.0,58,120000.0,143000.0
R000133,3.2,17.0,2025-02-22 08:25:16.337967,8,5,2,21.071530908967294,105.83865439724464,21.05767741985508,105.7697676792068,heavy_rain,8,14,58,motorbike,3.9,36,32000.0,71000.0
R000134,17.3,68.0,2025-03-04 21:29:32.337967,21,1,3,21.0301920621476,105.77719757482888,21.014281171083404,105.83909121039362,rainy,5,18,50,4_seater_car,3.3,1,346000.0,447000.0
R000135,9.0,45.0,2025-03-08 13:13:50.337967,13,5,3,21.075410523855567,105.76089038741023,21.0279982338818,105.78274247652567,rainy,4,23,61,motorbike,4.0,34,90000.0,109000.0
R000136,8.9,57.0,2025-02-12 05:34:51.337967,5,2,2,21.077294496876082,105.78311403358501,21.032129507291792,105.82423049633206,heavy_rain,3,18,72,4_seater_car,3.9,2,178000.0,320000.0
R000137,2.7,11.0,2025-02-20 21:04:01.337967,21,3,2,21.05423804142358,105.75583202330654,21.052657783814663,105.78685958880321,sunny,4,26,23,4_seater_car,4.5,24,54000.0,51000.0
R000138,1.6,10.0,2025-02-10 05:44:44.337967,5,0,2,20.997633573895733,105.82875841508049,21.07593930259774,105.8180807916678,rainy,6,16,37,motorbike,4.2,23,16000.0,19000.0
